lat,lon,sunrise,sunset,solar_noon,day_length_sec,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,day_length_hr
33.33,-112.32,2026-05-22T05:23:14-07:00,2026-05-22T19:28:44-07:00,2026-05-22T12:25:59-07:00,50730,2026-05-22T04:56:47-07:00,2026-05-22T19:55:12-07:00,2026-05-22T04:22:54-07:00,2026-05-22T20:29:04-07:00,2026-05-22T03:46:35-07:00,2026-05-22T21:05:23-07:00,14.0917
33.33,-111.82,2026-05-22T05:21:14-07:00,2026-05-22T19:26:44-07:00,2026-05-22T12:23:59-07:00,50730,2026-05-22T04:54:47-07:00,2026-05-22T19:53:12-07:00,2026-05-22T04:20:54-07:00,2026-05-22T20:27:04-07:00,2026-05-22T03:44:35-07:00,2026-05-22T21:03:23-07:00,14.0917
33.33,-111.32,2026-05-22T05:19:14-07:00,2026-05-22T19:24:44-07:00,2026-05-22T12:21:59-07:00,50730,2026-05-22T04:52:47-07:00,2026-05-22T19:51:12-07:00,2026-05-22T04:18:54-07:00,2026-05-22T20:25:04-07:00,2026-05-22T03:42:35-07:00,2026-05-22T21:01:23-07:00,14.0917
33.33,-110.82,2026-05-22T05:17:14-07:00,2026-05-22T19:22:44-07:00,2026-05-22T12:19:59-07:00,50730,2026-05-22T04:50:47-07:00,2026-05-22T19:49:12-07:00,2026-05-22T04:16:54-07:00,2026-05-22T20:23:04-07:00,2026-05-22T03:40:35-07:00,2026-05-22T20:59:23-07:00,14.0917
33.33,-110.32,2026-05-22T05:15:14-07:00,2026-05-22T19:20:44-07:00,2026-05-22T12:17:59-07:00,50730,2026-05-22T04:48:47-07:00,2026-05-22T19:47:11-07:00,2026-05-22T04:14:54-07:00,2026-05-22T20:21:04-07:00,2026-05-22T03:38:35-07:00,2026-05-22T20:57:23-07:00,14.0917
33.33,-109.82,2026-05-22T05:13:14-07:00,2026-05-22T19:18:44-07:00,2026-05-22T12:15:59-07:00,50730,2026-05-22T04:46:47-07:00,2026-05-22T19:45:11-07:00,2026-05-22T04:12:54-07:00,2026-05-22T20:19:04-07:00,2026-05-22T03:36:35-07:00,2026-05-22T20:55:23-07:00,14.0917
33.33,-109.32,2026-05-22T05:11:14-07:00,2026-05-22T19:16:44-07:00,2026-05-22T12:13:59-07:00,50730,2026-05-22T04:44:47-07:00,2026-05-22T19:43:11-07:00,2026-05-22T04:10:55-07:00,2026-05-22T20:17:04-07:00,2026-05-22T03:34:35-07:00,2026-05-22T20:53:23-07:00,14.0917
33.33,-108.82,2026-05-22T05:09:14-07:00,2026-05-22T19:14:44-07:00,2026-05-22T12:11:59-07:00,50730,2026-05-22T04:42:47-07:00,2026-05-22T19:41:11-07:00,2026-05-22T04:08:55-07:00,2026-05-22T20:15:04-07:00,2026-05-22T03:32:35-07:00,2026-05-22T20:51:23-07:00,14.0917
33.83,-114.82,2026-05-22T05:32:05-07:00,2026-05-22T19:39:54-07:00,2026-05-22T12:35:59-07:00,50869,2026-05-22T05:05:25-07:00,2026-05-22T20:06:34-07:00,2026-05-22T04:31:14-07:00,2026-05-22T20:40:45-07:00,2026-05-22T03:54:29-07:00,2026-05-22T21:17:30-07:00,14.1303
33.83,-114.32,2026-05-22T05:30:05-07:00,2026-05-22T19:37:54-07:00,2026-05-22T12:33:59-07:00,50869,2026-05-22T05:03:25-07:00,2026-05-22T20:04:33-07:00,2026-05-22T04:29:14-07:00,2026-05-22T20:38:44-07:00,2026-05-22T03:52:29-07:00,2026-05-22T21:15:30-07:00,14.1303
